gene_symbol,hgnc_id,type,locus_type,JAX,MSK,NWU,UCSF,JAX_MorPhiC_Code,MSK_category,one2one_ortholog_hgnc,mgi_id,impc_viability,impc_phenotypes_homozygote,impc_phenotypes_heterozygote,impc_phenotypes_hemizygote,percentage_essential_all,mean_score_all,cellular_essential,omim,omim_name,dd,dd_name,dd_confidence_category,dd_allelic_requirement
KIF26B,HGNC:25484,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2447076,lethal,"preweaning lethality, complete penetrance",hyperactivity|decreased circulating free fatty acids level|increased heart weight,-,185.528.756.957.328,-416.343.883.584.089,n,-,-,-,-,-,-
KIFAP3,HGNC:17060,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:107566,lethal,"preweaning lethality, complete penetrance",impaired glucose tolerance,-,927.643.784.786.642,900.129.663.926.521,n,-,-,-,-,-,-
KLF7,HGNC:6350,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,"FUSIL ""developmental lethal""",y,MGI:1935151,lethal,"preweaning lethality, complete penetrance",hyperactivity|abnormal vertebrae morphology|impaired righting response|persistence of hyaloid vascular system|decreased circulating serum albumin level|increased mean platelet volume|increased circulating aspartate transaminase level,-,49.165.120.593.692,-208.028.211.443.135,n,-,-,dd,KLF7-related developmental disorder,definitive,monoallelic_autosomal
L3MBTL3,HGNC:23035,approved_symbol,gene_with_protein_product,-,MSK,NWU,-,-,"FUSIL ""developmental lethal""",y,MGI:2143628,lethal,"abnormal embryo size|edema|preweaning lethality, complete penetrance|polydactyly|abnormal craniofacial morphology",increased circulating triglyceride level|edema|abnormal skin morphology,-,278.293.135.435.993,35.775.396.955.641,n,-,-,-,-,-,-
LAMA5,HGNC:6485,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:105382,lethal,"preweaning lethality, complete penetrance",enlarged heart,-,0,-106.528.441.839.329,n,omim_disease,"BENT BONE DYSPLASIA SYNDROME 2|NEPHROTIC SYNDROME, TYPE 26",-,-,-,-
LCP2,HGNC:6529,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1321402,lethal,"preweaning lethality, complete penetrance",abnormal lens morphology|cataract,-,0,170.193.991.999.715,n,omim_disease,IMMUNODEFICIENCY 81,-,-,-,-
LEF1,HGNC:6551,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,"FUSIL ""developmental lethal""",y,MGI:96770,lethal,"abnormal craniofacial morphology|preweaning lethality, complete penetrance",enlarged heart|abnormal heart morphology|increased monocyte cell number|decreased prepulse inhibition,-,742.115.027.829.314,-107.410.961.926.183,n,-,-,-,-,-,-
MAEA,HGNC:13731,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1891748,lethal,"preweaning lethality, complete penetrance",abnormal coat appearance,-,23.469.387.755.102,-329.233.960.912.317,n,-,-,-,-,-,-
MAFA,HGNC:23145,approved_symbol,gene_with_protein_product,-,MSK,-,UCSF,-,T2D (DH),y,MGI:2673307,-,-,-,-,185.528.756.957.328,-237.416.903.063.708,n,omim_disease,INSULINOMATOSIS AND DIABETES MELLITUS,-,-,-,-
MAFB,HGNC:6408,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,Xianming (DH),y,MGI:104555,-,-,-,-,185.528.756.957.328,654.748.202.910.602,n,omim_disease,DUANE RETRACTION SYNDROME 3 WITH OR WITHOUT DEAFNESS|MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYNDROME,dd,"MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYNDROME|Duane Syndrome, Aberrant Extraocular Muscle Innervation, and Inner-Ear Defects",definitive|strong,monoallelic_autosomal|monoallelic_autosomal
MAP2K7,HGNC:6847,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1346871,lethal,"preweaning lethality, complete penetrance",-,-,380.333.951.762.523,-162.849.144.372.544,n,-,-,-,-,-,-
MAP3K12,HGNC:6851,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1346881,lethal,"preweaning lethality, complete penetrance",increased heart left ventricle size|thick ventricular wall,-,185.528.756.957.328,-115.277.484.539.789,n,-,-,-,-,-,-
MAPKAP1,HGNC:18752,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2444554,lethal,"abnormal embryo size|preweaning lethality, complete penetrance|prenatal lethality prior to heart atrial septation",increased cardiac stroke volume|increased cornea thickness|dilated heart left ventricle|decreased total retina thickness,-,136.363.636.363.636,-279.335.567.791.515,n,-,-,-,-,-,-
MBD6,HGNC:20445,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:106378,lethal,"preweaning lethality, complete penetrance",decreased body length|enlarged heart|abnormal heart morphology|increased fasting circulating glucose level|increased kidney weight,-,139.146.567.717.996,-144.017.962.844.647,n,-,-,-,-,-,-
MEIS2,HGNC:7001,approved_symbol,gene_with_protein_product,-,MSK,-,UCSF,-,T2D (DH),y,MGI:108564,-,-,-,-,463.821.892.393.321,541.369.951.200.614,n,omim_disease,"CLEFT PALATE, CARDIAC DEFECTS, AND IMPAIRED INTELLECTUAL DEVELOPMENT",dd,MEIS2-related developmental disorder (monoallelic),strong,monoallelic_autosomal
MEMO1,HGNC:14014,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1924140,lethal,"unresponsive to tactile stimuli|edema|preweaning lethality, complete penetrance|hemorrhage|abnormal pericardium morphology|abnormal embryo size",thick ventricular wall|trunk curl|unresponsive to tactile stimuli,-,153.061.224.489.796,-302.645.822.050.317,n,-,-,-,-,-,-
MNX1,HGNC:4979,approved_symbol,gene_with_protein_product,-,MSK,NWU,-,-,T2D (DH),y,MGI:109160,-,-,-,-,927.643.784.786.642,-177.552.086.243.183,n,omim_disease,CURRARINO SYNDROME,dd,CURRARINO SYNDROME,definitive,monoallelic_autosomal
MORC3,HGNC:23572,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2136841,lethal,"preweaning lethality, complete penetrance",decreased hemoglobin content|increased neutrophil cell number|decreased hematocrit|decreased lymphocyte cell number|increased monocyte cell number|increased circulating alanine transaminase level|decreased erythrocyte cell number|increased circulating aspartate transaminase level|increased large unstained cell number|decreased exploration in new environment,-,0,-765.534.354.329.305,n,-,-,-,-,-,-
MYO18A,HGNC:31104,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2667185,lethal,"abnormal limb bud morphology|abnormal placenta size|pale liver|pale yolk sac|preweaning lethality, complete penetrance|abnormal embryo size|pallor",-,-,445.269.016.697.588,-245.945.814.567.922,n,-,-,-,-,-,-
NABP2,HGNC:28412,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1917167,lethal,"abnormal limb morphology|abnormal embryo size|abnormal craniofacial morphology|edema|preweaning lethality, complete penetrance",-,-,213.358.070.500.928,-168.000.580.570.934,n,-,-,-,-,-,-
NAMPT,HGNC:30092,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1929865,lethal,"preweaning lethality, complete penetrance|embryonic lethality prior to tooth bud stage",abnormal brain morphology|hydrocephaly,-,348.794.063.079.777,-500.296.148.418.114,y,-,-,-,-,-,-
NCOA5,HGNC:15909,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2385165,lethal,"preweaning lethality, complete penetrance|embryonic lethality prior to organogenesis|embryonic lethality prior to tooth bud stage",enlarged heart|abnormal heart morphology|hydrometra|increased heart weight|small superior vagus ganglion,-,315.398.886.827.458,-161.520.451.685.378,n,-,-,-,-,-,-
NDEL1,HGNC:17620,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1932915,lethal,"embryonic growth retardation|abnormal embryo size|abnormal tail morphology|preweaning lethality, complete penetrance|respiratory system phenotype",-,-,371.057.513.914.657,-481.056.528.963.314,n,-,-,-,-,-,-
NEUROD1,HGNC:7762,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,T2D (DH),y,MGI:1339708,-,-,-,-,742.115.027.829.314,426.783.913.698.486,n,omim_disease,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6|TYPE 2 DIABETES MELLITUS",-,-,-,-
NEUROD2,HGNC:7763,approved_symbol,gene_with_protein_product,-,MSK,-,UCSF,-,Xianming (DH),y,MGI:107755,viable,abnormal coat appearance|abnormal locomotor behavior|hyperactivity|decreased locomotor activity|increased exploration in new environment|increased thigmotaxis|abnormal behavior|decreased circulating calcium level|decreased prepulse inhibition|short tibia|increased anxiety-related response|decreased food intake|increased total body fat amount|decreased startle reflex|increased grip strength|decreased vertical activity,abnormal coat appearance|hyperactivity|increased exploration in new environment,-,120.593.692.022.263,-130.027.988.942.644,n,omim_disease,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 72,-,-,-,-
NEUROG3,HGNC:13806,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,T2D (DH),y,MGI:893591,-,-,-,-,463.821.892.393.321,-14.720.116.876.517,n,omim_disease,"DIARRHEA 4, MALABSORPTIVE, CONGENITAL",-,-,-,-
NFATC3,HGNC:7777,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,"FUSIL ""developmental lethal""",y,MGI:103296,lethal,"preweaning lethality, complete penetrance",increased startle reflex|abnormal lens morphology,-,463.821.892.393.321,-465.934.478.697.813,n,-,-,-,-,-,-
NGDN,HGNC:20271,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1916216,lethal,"preweaning lethality, complete penetrance",decreased circulating cholesterol level|abnormal lens morphology|decreased circulating HDL cholesterol level|hydrometra,-,568.645.640.074.212,-546.378.085.328.059,y,-,-,-,-,-,-
NKX2-2,HGNC:7835,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,T2D (DH),y,MGI:97347,-,-,-,-,0,130.983.876.083.455,n,-,-,-,-,-,-
NKX6-1,HGNC:7839,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,T2D (DH),y,MGI:1206039,-,-,-,-,0,90.086.547.733.474,n,-,-,-,-,-,-
NKX6-3,HGNC:26328,approved_symbol,gene_with_protein_product,-,MSK,-,UCSF,-,T2D (DH),y,MGI:1921811,-,-,-,-,927.643.784.786.642,-294.431.073.134.797,n,-,-,-,-,-,-
NLK,HGNC:29858,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1201387,lethal,"preweaning lethality, complete penetrance",increased circulating alkaline phosphatase level|abnormal auditory brainstem response|increased startle reflex,-,0,185.984.452.562.815,n,-,-,-,-,-,-
NOTCH1,HGNC:7881,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,Xianming (DH),y,MGI:97363,lethal,"preweaning lethality, complete penetrance",abnormal vertebrae morphology|increased grip strength|increased startle reflex,-,371.057.513.914.657,-442.740.632.620.826,n,omim_disease,ADAMS-OLIVER SYNDROME 5|AORTIC VALVE DISEASE 1,dd,LEFT VENTRICULAR OUTFLOW TRACT OBSTRUCTION,strong,monoallelic_autosomal
NR6A1,HGNC:7985,approved_symbol,gene_with_protein_product,-,MSK,NWU,-,-,"FUSIL ""developmental lethal""",y,MGI:1352459,lethal,"abnormal pharyngeal arch morphology|pale yolk sac|preweaning lethality, complete penetrance|abnormal heart looping|abnormal neural tube morphology|abnormal forebrain development|abnormal midbrain development|abnormal hindbrain development|abnormal embryo turning|abnormal neural tube closure|abnormal allantois morphology|abnormal chorioallantoic fusion|abnormal heart morphology|abnormal embryo development|abnormal pericardium morphology|abnormal somite shape|embryonic growth retardation|abnormal visceral yolk sac morphology|abnormal tail bud morphology|abnormal optic vesicle formation|embryonic lethality prior to tooth bud stage|abnormal embryo size",increased startle reflex|decreased body length,-,148.423.005.565.863,-51.331.123.834.979,n,-,-,-,-,-,-
NRP1,HGNC:8004,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:106206,lethal,"preweaning lethality, complete penetrance",decreased prepulse inhibition|abnormal auditory brainstem response,-,0,76.242.464.990.749,n,-,-,-,-,-,-
ONECUT1,HGNC:8138,approved_symbol,gene_with_protein_product,-,MSK,NWU,-,-,T2D (DH),y,MGI:1196423,-,-,-,-,927.643.784.786.642,701.443.013.106.716,n,-,-,dd,ONECUT1-associated neonatal diabetes,strong,biallelic_autosomal
OSBPL11,HGNC:16397,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2146553,lethal,"preweaning lethality, complete penetrance",increased total body fat amount|improved glucose tolerance|decreased circulating triglyceride level,-,0,660.418.751.554.076,n,-,-,-,-,-,-
OTUB1,HGNC:23077,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2147616,lethal,"preweaning lethality, complete penetrance",decreased grip strength|abnormal cranium morphology|abnormal heart position or orientation|increased cornea thickness|decreased bone mineral content|abnormal lung morphology|decreased exploration in new environment,-,584.415.584.415.584,-210.663.601.111.536,n,-,-,-,-,-,-
PAICS,HGNC:8587,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1914304,lethal,"preweaning lethality, complete penetrance|prenatal lethality prior to heart atrial septation",embryonic growth retardation,-,458.256.029.684.601,-542.988.433.921.788,y,omim_disease,PHOSPHORIBOSYLAMINOIMIDAZOLE CARBOXYLASE DEFICIENCY,-,-,-,-
PARD3,HGNC:16051,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2135608,lethal,"preweaning lethality, complete penetrance",abnormal optic disk morphology|decreased spleen weight|abnormal retina morphology|decreased basophil cell number,-,593.692.022.263.451,-123.308.831.935.362,n,-,-,-,-,-,-
PATZ1,HGNC:13071,approved_symbol,gene_with_protein_product,-,MSK,NWU,-,-,"FUSIL ""developmental lethal""",y,MGI:1891832,lethal,"preweaning lethality, complete penetrance",-,-,463.821.892.393.321,-990.421.474.882.419,n,-,-,-,-,-,-
PAX4,HGNC:8618,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,T2D (DH),y,MGI:97488,lethal,"preweaning lethality, complete penetrance",increased circulating alkaline phosphatase level|increased circulating total protein level|tremors,-,0,364.305.317.015.642,n,omim_disease,"TYPE 2 DIABETES MELLITUS|MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9|DIABETES MELLITUS, KETOSIS-PRONE",-,-,-,-
PBX3,HGNC:8634,approved_symbol,gene_with_protein_product,-,MSK,NWU,-,-,"FUSIL ""developmental lethal""",y,MGI:97496,lethal,"increased bone mineral density|increased bone mineral content|increased lean body mass|increased total body fat amount|preweaning lethality, complete penetrance|abnormal bone mineralization",absent ovary|decreased total body fat amount|decreased blood urea nitrogen level|abnormal tooth morphology|abnormal response to new environment|increased circulating bilirubin level,-,927.643.784.786.642,257.492.924.679.038,n,-,-,-,-,-,-
PCGF1,HGNC:17615,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1917087,lethal,"abnormal embryo size|abnormal heart looping|embryonic growth retardation|abnormal neural tube closure|preweaning lethality, complete penetrance|abnormal heart morphology|embryonic lethality prior to tooth bud stage|abnormal midbrain development|abnormal embryo turning|abnormal forebrain development|abnormal pharyngeal arch morphology",abnormal lens morphology|increased fasting circulating glucose level|hyperactivity,-,204.081.632.653.061,-100.337.544.433.592,n,-,-,-,-,-,-
PDX1,HGNC:6107,approved_symbol,gene_with_protein_product,-,MSK,NWU,-,-,T2D (DH),y,MGI:102851,lethal,"preweaning lethality, complete penetrance",impaired glucose tolerance,-,0,-411.972.791.917.159,n,omim_disease,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4|PANCREATIC AGENESIS 1|TYPE 2 DIABETES MELLITUS",-,-,-,-
PIK3C2A,HGNC:8971,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1203729,lethal,"preweaning lethality, complete penetrance|embryonic growth retardation|abnormal embryo size|embryonic lethality prior to tooth bud stage",enlarged lymph nodes|increased neutrophil cell number|decreased lymphocyte cell number|decreased locomotor activity,-,0,334.848.449.883.141,n,omim_disease,OCULOSKELETODENTAL SYNDROME,-,-,-,-
PKN2,HGNC:9406,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:109211,lethal,"preweaning lethality, complete penetrance",decreased circulating HDL cholesterol level|increased startle reflex|increased circulating bilirubin level|decreased circulating total protein level|decreased exploration in new environment|decreased circulating cholesterol level|decreased circulating unsaturated transferrin level,-,238.404.452.690.167,-332.237.760.531.369,n,-,-,-,-,-,-
PLPP3,HGNC:9229,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1915166,lethal,"preweaning lethality, complete penetrance|embryonic lethality prior to tooth bud stage",decreased mean corpuscular hemoglobin|increased circulating creatinine level,-,0,-129.542.186.525.642,n,-,-,-,-,-,-
PPARG,HGNC:9236,approved_symbol,gene_with_protein_product,-,MSK,NWU,-,-,T2D (DH),y,MGI:97747,lethal,"preweaning lethality, complete penetrance|embryonic lethality prior to tooth bud stage",increased fasting circulating glucose level|increased total body fat amount|decreased lean body mass|abnormal gait,-,194.805.194.805.195,-264.823.070.825.403,n,omim_disease,"CAROTID INTIMAL MEDIAL THICKNESS 1|LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 3|OBESITY|TYPE 2 DIABETES MELLITUS",-,-,-,-
PPP2R2A,HGNC:9304,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1919228,lethal,"preweaning lethality, complete penetrance",decreased bone mineral content|abnormal bone structure|decreased body length|decreased lean body mass|decreased bone mineral density,-,154.916.512.059.369,-226.582.600.969.759,n,-,-,-,-,-,-
PRPF4B,HGNC:17346,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:109584,lethal,"preweaning lethality, complete penetrance|embryonic lethality prior to organogenesis",-,-,695.732.838.589.982,-596.001.585.338.301,y,-,-,-,-,-,-
PRRC2B,HGNC:28121,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1923304,lethal,"preweaning lethality, complete penetrance",-,-,0,212.812.558.834.535,n,-,-,-,-,-,-
PTK7,HGNC:9618,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1918711,lethal,"preweaning lethality, complete penetrance",abnormal response to new environment|increased total body fat amount,-,0,-116.432.417.059.289,n,-,-,-,-,-,-
PTPRS,HGNC:9681,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:97815,lethal,"preweaning lethality, complete penetrance",enlarged heart|increased mean platelet volume|hyperactivity|abnormal heart morphology|abnormal uterus morphology|hydrometra,-,0,719.504.198.093.792,n,-,-,-,-,-,-
PUM2,HGNC:14958,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1931751,-,-,-,-,185.528.756.957.328,-176.144.037.562.632,n,-,-,-,-,-,-
PYGO2,HGNC:30257,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1916161,lethal,"microphthalmia|edema|hemorrhage|anophthalmia|abnormal craniofacial morphology|abnormal limb morphology|abnormal midbrain morphology|abnormal eye morphology|abnormal hindbrain morphology|preweaning lethality, complete penetrance|abnormal neural tube closure",persistence of hyaloid vascular system|abnormal kidney morphology|hyperactivity|abnormal uterus morphology|hydrometra,-,102.040.816.326.531,-110.485.906.943.083,n,-,-,-,-,-,-
QSER1,HGNC:26154,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,T2D (DH),y,MGI:2138986,subviable,"preweaning lethality, incomplete penetrance",-,-,927.643.784.786.642,765.306.097.778.176,n,-,-,-,-,-,-
RAB2A,HGNC:9763,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1928750,lethal,"preweaning lethality, complete penetrance|abnormal embryo size",increased mean corpuscular volume|decreased erythrocyte cell number|abnormal skin morphology|increased red blood cell distribution width|increased mean corpuscular hemoglobin|increased spleen weight,-,278.293.135.435.993,-864.682.274.363.333,n,-,-,-,-,-,-
RAB5C,HGNC:9785,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:105306,lethal,"preweaning lethality, complete penetrance",increased circulating total protein level|increased circulating alkaline phosphatase level|decreased circulating cholesterol level|increased circulating fructosamine level,-,584.415.584.415.584,-229.387.383.993.045,n,-,-,-,-,-,-
RAB35,HGNC:9774,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1924657,lethal,"preweaning lethality, complete penetrance",abnormal lens morphology|cataract,-,705.009.276.437.848,-154.728.243.443.466,n,-,-,-,-,-,-
RALGAPB,HGNC:29221,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2444531,lethal,"preweaning lethality, complete penetrance",increased grip strength|decreased circulating potassium level,-,649.350.649.350.649,-466.910.811.758.545,n,-,-,-,-,-,-
RANBP1,HGNC:9847,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:96269,lethal,"abnormal neural tube closure|abnormal midbrain morphology|abnormal embryo size|edema|abnormal craniofacial morphology|abnormal forebrain morphology|abnormal hindbrain morphology|abnormal placenta size|preweaning lethality, complete penetrance",-,-,482.374.768.089.054,-509.779.480.889.926,y,-,-,-,-,-,-
RAPGEF1,HGNC:4568,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:104580,lethal,"preweaning lethality, complete penetrance",abnormal retina morphology,-,584.415.584.415.584,-190.892.364.079.129,n,-,-,-,-,-,-
RBFOX1,HGNC:18222,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1926224,lethal,"preweaning lethality, complete penetrance",short tibia,-,927.643.784.786.642,-532.609.756.237.607,n,-,-,dd,RBFOX1-related neurodevelopmental disorder,limited,monoallelic_autosomal
RBM33,HGNC:27223,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1919670,lethal,"preweaning lethality, complete penetrance",-,-,145.640.074.211.503,-275.019.489.850.411,n,-,-,-,-,-,-
RBMS1,HGNC:9907,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1861774,lethal,"preweaning lethality, complete penetrance",abnormal coat/ hair morphology|enlarged heart|increased circulating alkaline phosphatase level|decreased lean body mass|impaired glucose tolerance,-,371.057.513.914.657,-466.650.217.751.568,n,-,-,-,-,-,-
REXO2,HGNC:17851,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1888981,lethal,"preweaning lethality, complete penetrance",decreased neutrophil cell number|decreased fasting circulating glucose level|increased lymphocyte cell number|increased circulating cholesterol level|increased circulating serum albumin level|increased circulating HDL cholesterol level,-,140.074.211.502.783,-259.383.460.057.094,n,-,-,-,-,-,-
RHOT1,HGNC:21168,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1926078,lethal,"preweaning lethality, complete penetrance",-,-,333.951.762.523.191,-201.791.823.149.282,n,-,-,-,-,-,-
RIC8B,HGNC:25555,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2682307,lethal,"preweaning lethality, complete penetrance",increased leukocyte cell number|increased basophil cell number|increased lymphocyte cell number|corneal opacity,-,0,105.767.439.108.217,n,-,-,-,-,-,-
RREB1,HGNC:10449,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,T2D (DH),y,MGI:2443664,-,-,decreased total body fat amount|decreased circulating calcium level|decreased circulating serum albumin level|increased lean body mass|increased leukocyte cell number|decreased erythrocyte cell number|increased red blood cell distribution width|decreased hemoglobin content|decreased hematocrit,-,204.081.632.653.061,-105.705.987.470.382,n,-,-,-,-,-,-
RSBN1,HGNC:25642,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2444993,lethal,"preweaning lethality, complete penetrance",abnormal locomotor behavior|abnormal bone structure|decreased lean body mass|increased circulating cholesterol level|increased total body fat amount|abnormal seminal vesicle morphology,-,927.643.784.786.642,-41.907.624.901.008,n,-,-,-,-,-,-
RSF1,HGNC:18118,approved_symbol,gene_with_protein_product,-,MSK,-,UCSF,-,"FUSIL ""developmental lethal""",y,MGI:2682305,lethal,"preweaning lethality, complete penetrance|abnormal embryo size",decreased prepulse inhibition|increased bone mineral density|dysplasia|spermatogenesis defect,-,927.643.784.786.642,-100.827.595.588.317,n,-,-,-,-,-,-
RUNX3,HGNC:10473,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,"FUSIL ""developmental lethal""",y,MGI:102672,lethal,"preweaning lethality, complete penetrance",abnormal locomotor behavior,-,834.879.406.307.978,-695.878.090.442.772,n,-,-,-,-,-,-
SEL1L,HGNC:10717,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:1329016,lethal,"preweaning lethality, complete penetrance",vertebral fusion,-,222.634.508.348.794,-988.789.460.983.054,n,-,-,-,-,-,-
SIX2,HGNC:10888,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,T2D (DH),y,MGI:102778,-,-,-,-,185.528.756.957.328,103.365.611.811.688,n,-,-,-,-,-,-
SLC17A6,HGNC:16703,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,"FUSIL ""developmental lethal""",y,MGI:2156052,lethal,"preweaning lethality, complete penetrance",-,-,927.643.784.786.642,584.850.384.781.694,n,-,-,-,-,-,-
SMAD2,HGNC:6768,approved_symbol,gene_with_protein_product,-,MSK,-,-,-,Positive Control (DH),y,MGI:108051,-,-,-,-,0,178.021.325.824.604,n,omim_disease,"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 8, WITH OR WITHOUT HETEROTAXY|LOEYS-DIETZ SYNDROME 6",dd,CONGENITAL HEART DISEASE,limited,monoallelic_autosomal
SMAD4,HGNC:6770,approved_symbol,gene_with_protein_product,-,MSK,NWU,UCSF,-,Positive Control (DH),y,MGI:894293,-,-,-,-,139.146.567.717.996,-78.532.127.034.689,n,omim_disease,JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME|MYHRE SYNDROME|PANCREATIC CANCER|JUVENILE POLYPOSIS SYNDROME,dd,MYHRE SYNDROME|Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,definitive|definitive,monoallelic_autosomal|monoallelic_autosomal
